found,author,combinedName,kingdom,tsn,unitInd1,unitInd2,unitInd3,unitInd4,unitName1,unitName2,unitName3,unitName4,final_id,full_hierarchy
TRUE,"Flint, 1984",brachycentrus appalachia,Animalia,116921,,,,,Brachycentrus,appalachia,,,brachycentrus_appalachia,TRUE
TRUE,"Hagen, 1861",brachycentrus incanus,Animalia,116919,,,,,Brachycentrus,incanus,,,brachycentrus_incanus,TRUE
TRUE,"(Say, 1823)",brachycentrus lateralis,Animalia,116914,,,,,Brachycentrus,lateralis,,,brachycentrus_lateralis,TRUE
TRUE,"(Banks, 1905)",brachycentrus nigrosoma,Animalia,116916,,,,,Brachycentrus,nigrosoma,,,brachycentrus_nigrosoma,TRUE
TRUE,"(Say, 1823)",brachycentrus numerosus,Animalia,116910,,,,,Brachycentrus,numerosus,,,brachycentrus_numerosus,TRUE
TRUE,"Flint, 1984",brachycentrus solomoni,Animalia,604655,,,,,Brachycentrus,solomoni,,,brachycentrus_solomoni,TRUE
TRUE,"Curtis, 1834",brachycentrus,Animalia,116906,,,,,Brachycentrus,,,,brachycentrus,TRUE
TRUE,"Berner, 1946",brachycercus maculatus,Animalia,101475,,,,,Brachycercus,maculatus,,,brachycercus_maculatus,TRUE
TRUE,"Curtis, 1834",brachycercus,Animalia,101468,,,,,Brachycercus,,,,brachycercus,TRUE
TRUE,"Odier, 1823",branchiobdella,Animalia,69180,,,,,Branchiobdella,,,,branchiobdella,TRUE
TRUE,"Beddard, 1892",branchiura sowerbyi,Animalia,68621,,,,,Branchiura,sowerbyi,,,branchiura_sowerbyi,TRUE
TRUE,"Beddard, 1892",branchiura,Animalia,68619,,,,,Branchiura,,,,branchiura,TRUE
TRUE,"(Michaelsen, 1905)",bratislavia dadayi,Animalia,974730,,,,,Bratislavia,dadayi,,,bratislavia_dadayi,TRUE
TRUE,"(Johannsen, 1905)",brillia flavifrons,Animalia,128478,,,,,Brillia,flavifrons,,,brillia_flavifrons,TRUE
TRUE,"Joahnnsen, 1934",brillia parva,Animalia,128481,,,,,Brillia,parva,,,brillia_parva,TRUE
TRUE,"Roback, 1957",brillia sera,Animalia,128483,,,,,Brillia,sera,,,brillia_sera,TRUE
TRUE,"Kieffer, 1913",brillia,Animalia,128477,,,,,Brillia,,,,brillia,TRUE
TRUE,,brundiniella,Animalia,128026,,,,,Brundiniella,,,,brundiniella,TRUE
TRUE,"(Say, 1818)",caecidotea communis,Animalia,568819,,,,,Caecidotea,communis,,,caecidotea_communis,TRUE
TRUE,"(Forbes, 1876)",caecidotea intermedia,Animalia,92711,,,,,Caecidotea,intermedia,,,caecidotea_intermedia,TRUE
TRUE,"(W. D. Williams, 1970)",caecidotea racovitzai,Animalia,92692,,,,,Caecidotea,racovitzai,,,caecidotea_racovitzai,TRUE
TRUE,"(Williams, 1970)",caecidotea racovitzai racovitzai,Animalia,92694,,,,,Caecidotea,racovitzai,racovitzai,,caecidotea_racovitzai racovitzai,TRUE
TRUE,"Packard, 1871",caecidotea,Animalia,92686,,,,,Caecidotea,,,,caecidotea,TRUE
TRUE,"Hagen, 1861",caenis amica,Animalia,101480,,,,,Caenis,amica,,,caenis_amica,TRUE
TRUE,"Traver, 1935",caenis anceps,Animalia,101481,,,,,Caenis,anceps,,,caenis_anceps,TRUE
TRUE,"Walker, 1853",caenis diminuta,Animalia,101483,,,,,Caenis,diminuta,,,caenis_diminuta,TRUE
TRUE,"Banks, 1907",caenis latipennis,Animalia,101488,,,,,Caenis,latipennis,,,caenis_latipennis,TRUE
TRUE,"Provonsha, 1990",caenis macafferti,Animalia,568670,,,,,Caenis,macafferti,,,caenis_macafferti,TRUE
TRUE,"McDunnough, 1931",caenis punctata,Animalia,101489,,,,,Caenis,punctata,,,caenis_punctata,TRUE
TRUE,"Stephens, 1835",caenis,Animalia,101478,,,,,Caenis,,,,caenis,TRUE
TRUE,"Eaton, 1881",callibaetis,Animalia,100903,,,,,Callibaetis,,,,callibaetis,TRUE
TRUE,"Leach, 1815",calopteryx,Animalia,102052,,,,,Calopteryx,,,,calopteryx,TRUE
TRUE,"(Fabricius, 1798)",cambarus bartonii,Animalia,97343,,,,,Cambarus,bartonii,,,cambarus_bartonii,TRUE
TRUE,"Erichson, 1846",cambarus,Animalia,97337,,,,,Cambarus,,,,cambarus,TRUE
TRUE,"(Say, 1817)",campeloma decisum,Animalia,70312,,,,,Campeloma,decisum,,,campeloma_decisum,TRUE
TRUE,"Rafinesque, 1819",campeloma,Animalia,70311,,,,,Campeloma,,,,campeloma,TRUE
TRUE,,camptocladius,Animalia,128507,,,,,Camptocladius,,,,camptocladius,TRUE
TRUE,"Saether, 1969",cardiocladius albiplumus,Animalia,128512,,,,,Cardiocladius,albiplumus,,,cardiocladius_albiplumus,TRUE
TRUE,"(Johannsen, 1903)",cardiocladius obscurus,Animalia,128515,,,,,Cardiocladius,obscurus,,,cardiocladius_obscurus,TRUE
TRUE,Keiffer,cardiocladius,Animalia,128511,,,,,Cardiocladius,,,,cardiocladius,TRUE
TRUE,"Aubé, 1837",celina,Animalia,112136,,,,,Celina,,,,celina,TRUE
TRUE,"Eaton, 1869",centroptilum,Animalia,100873,,,,,Centroptilum,,,,centroptilum,TRUE
TRUE,"(Ross, 1941)",ceraclea alces,Animalia,116742,,,,,Ceraclea,alces,,,ceraclea_alces,TRUE
