MACRO_GENSPECIES,PHYLUM,CLAS,ORDR,FAMILY,SUBFAMILY,HBI_TOLERANCE,FEEDINGHAB,REFERENCE,CLASSIFIER,PREVNAMES,TOLNAME,NBI-P_TOLERANCE,NBI-N_TOLERANCE,MACRO_TSN
Ephemerella dorothea,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,7,Ephemeroptera,,intolerant,,,101272
Ephemerella excrucians?,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,7,Ephemeroptera,,intolerant,,,101276
Ephemerella invaria,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,7,Ephemeroptera,,intolerant,,,101282
Ephemerella needhami,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,7,Ephemeroptera,,intolerant,,,101291
Ephemerella rotunda,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,7,Ephemeroptera,Ephemerella sp. 3,intolerant,,,101296
Ephemerella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,7,Ephemeroptera,,intolerant,4,4,101233
Ephemerella subvaria,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,7,Ephemeroptera,,intolerant,4,1,101241
Ephoron leukon?,ARTHROPODA,INSECTA,EPHEMEROPTERA,Polymitarcyidae,,2,c-g,"83,24",Ephemeroptera,,intolerant,1,1,101572
Ephoron sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Polymitarcyidae,,2,c-g,"83,24",Ephemeroptera,,intolerant,,,101570
Ephydra sp.,ARTHROPODA,INSECTA,DIPTERA,Ephydridae,,8,shr,117,Insects-other,,facultative,,,147486
Epicordulia sp.,ARTHROPODA,INSECTA,ODONATA,Corduliidae,,6,prd,,Insects-Other,,facultative,,,101862
Epoicocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"124,83",Chironomidae,,intolerant,,,128682
Eristalis sp.,ARTHROPODA,INSECTA,DIPTERA,Syrphidae,,10,c-g,83,Insects-other,,tolerant,,,140904
Erpobdella sp.,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLIDA,Erpobdellidae,,8,prd,"83, 63",Other,,tolerant,,,69444
Erythemis sp.,ARTHROPODA,INSECTA,ODONATA,Libellulidae,,2,prd,83,Insects-other,,intolerant,,,101865
Estigmene sp.,ARTHROPODA,INSECTA,LEPIDOPTERA,Arctiidae,,5,shr,66,Insects-other,,facultative,,,117298
Eucorethra sp.,ARTHROPODA,INSECTA,DIPTERA,Chaoboridae,Eucorethrinae,7,prd,,Insects-Other,,tolerant,,,125888
Eukiefferiella brehmi gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,13,Chironomidae,"Eukiefferiella clypeata, Eukiefferiella sp. 5, Heterotrissocladius  sp. 3",intolerant,,,128704
Eukiefferiella brevicalcar gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,13,Chironomidae,,intolerant,,,128703
Eukiefferiella claripennis gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,8,c-g,13,Chironomidae,Eukiefferiella sp. 9,tolerant,,,128693
Eukiefferiella coerulescens gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,13,Chironomidae,,intolerant,,,128701
Eukiefferiella devonica gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,13,Chironomidae,"Cardiocladius sp. 4, Eukiefferiella sp. 6",intolerant,9,9,128695
Eukiefferiella gracei gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,13,Chironomidae,,intolerant,,,128705
Eukiefferiella pseudomontana gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,8,c-g,13,Chironomidae,Eukiefferiella sp. 4,tolerant,,,128706
Eukiefferiella similis gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,c-g,13,,,facultative,,,553084
Eukiefferiella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,c-g,83,Chironomidae,,facultative,,,128689
Eukiefferiella tirolensis,ARTHROPODA,INSECTA,DIPTER,Chironomidae,Orthocladiinae,4,c-g,,Chironomidae,,intolerant,,,
Euparyphus sp.,ARTHROPODA,INSECTA,DIPTERA,Stratiomyidae,,7,c-g,"83,59",Insects-other,,facultative,,,130436
Eurylophella funeralis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,0,c-g,"6,46",Ephemeroptera,Ephemerella funeralis,intolerant,,,101332
Eurylophella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,c-g,6,Ephemeroptera,,intolerant,,,101324
Eurylophella temporalis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,5,c-g,"6,46",Ephemeroptera,Ephemerella temporalis,facultative,,,101326
Eurylophella verisimilis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,2,c-g,"6,46",Ephemeroptera,"Ephemerella versimilis, Ephemerella sp. 4",intolerant,,,185971
Ferrissia fragilis,ANNELIDA,OLIGOCHAETA,BASOMMATOPHORA,Ancylidae,,6,scr,"83,61",Oligochaeta,,,,,76570
Ferrissia parallela,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,scr,"60,83",Mollusca,,facultative,,,76571
Ferrissia rivularis,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,scr,"60,83",Mollusca,Ferrissia parallela,facultative,,,76572
Ferrissia sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,scr,"60,83",Mollusca,,facultative,9,5,76569
Ferrissia walkeri,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Ancylidae,,6,scr,"60,83",Mollusca,,facultative,,,76575
Forcipomyia sp.,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,scr,83,Insects-other,,facultative,,,127152
Fossaria sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Lymnaeidae,,6,c-g,"60,83",Mollusca,Lymnaea humilis,facultative,,,76497
Gammarus fasciatus,ARTHROPODA,CRUSTACEA,AMPHIPODA,Gammaridae,,6,c-g,"17,57",Crustacea,,facultative,,,93780
Gammarus pseudolimnaeus,ARTHROPODA,CRUSTACEA,AMPHIPODA,Gammaridae,,4,c-g,"17,57",Crustacea,,intolerant,,,93790
Gammarus sp.,ARTHROPODA,CRUSTACEA,AMPHIPODA,Gammaridae,,6,c-g,"17,57",Crustacea,,facultative,8,9,93773
Gammarus tigrinus,ARTHROPODA,CRUSTACEA,AMPHIPODA,Gammaridae,,6,c-g,"17,57",Crustacea,,facultative,,,93781
Georthocladius fimbriatus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,5,c-g,,Chironomidae,,facultative,,,128714
Glossosoma sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Glossosomatidae,,0,scr,125,Trichoptera,,intolerant,6,0,117159
Glyptotendipes dreisbachi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,shr,10,Chironomidae,,tolerant,,,129487
Glyptotendipes lobiferus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,shr,106,Chironomidae,Glyptotendipes sp. 1,tolerant,,,129488
Glyptotendipes sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,shr,124,Chironomidae,,tolerant,,,129483
Glyptotendipes sp. 2,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,10,shr,124,Chironomidae,,tolerant,,,129483
Goeldichironomus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,c-g,124,Chironomidae,,tolerant,,,129506
Goera sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Goeridae,,3,scr,125,Trichoptera,,intolerant,,,116423
Gomphus sp.,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,5,prd,"83,122",Insects-other,,facultative,,,101665
Goniobasis livescens,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,scr,"60,83",Mollusca,,facultative,10,10,71544
Goniobasis sp.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,scr,"60,83",Mollusca,,facultative,,,71542
Goniobasis virginica,MOLLUSCA,GASTROPODA,MESOGASTROPODA,Pleuroceridae,,6,scr,"60,83",Mollusca,,facultative,,,71852
Guttipelopia guttipennis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,5,prd,12,Chironomidae,,facultative,,,128162
Guttipelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chronomidae,Tanypodinae,5,prd,12,Chironomidae,,facultative,,,128161
Gymnometriocnemus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"124,83",Chironomidae,,intolerant,,,128718
Gyraulus circumstriatus,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,8,scr,"60,83",Mollusca,,tolerant,,,76593
Gyraulus deflectus,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,8,scr,"60,83",Mollusca,Gyraulus hirsutus,tolerant,,,76594
Gyraulus parvus,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,8,scr,"60,83",Mollusca,,tolerant,,,76595
Gyraulus sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,8,scr,"60,83",Mollusca,,tolerant,,,76592
Gyrinus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Gyrinidae,,4,prd,"83,123",Coleoptera,,intolerant,,,112654
Habrophlebia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,4,c-g,83,Ephemeroptera,,intolerant,,,101183
Habrophlebia vibrans,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,4,c-g,"83,34",Ephemeroptera,Habrophlebia sp.,intolerant,,,101184
Habrophlebiodes sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Leptophlebiidae,,6,scr,83,Ephemeroptera,,facultative,,,101122
Haemonais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,69003
Haemonais waldvogeli,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,69004
Hagenius brevistylus,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,1,prd,"83,122",Insects-other,,intolerant,,,101735
Hagenius sp.,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,1,prd,"83,122",Insects-other,,intolerant,,,101734
Haliplus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Haliplidae,,5,shr,"83,123",Coleoptera,,facultative,,,111858
Haploperla brevis,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperlidae,,1,prd,114,Plecoptera,,intolerant,,,103263
Haploperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Chloroperildae,,1,prd,114,Plecoptera,,intolerant,,,103260
Harnischia curtilamellata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,8,c-g,106,Chironomidae,"Paracladopelma nais, Paracladoplema sp.",tolerant,,,129517
Harnischia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chrionominae,8,c-g,106,Chironomidae,,tolerant,,,129255
Hayesomyia senata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"94,75",Chironomidae,,facultative,,,128249
Hayesomyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chrionomidae,Tanypodinae,6,prd,"94,75",Chironomidae,,facultative,,,128237
Heleniella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,6,prd,,Chironomidae,,facultative,,,128730
Helichus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dryopidae,,5,scr,"83,19",Coleoptera,,facultative,,,114006
Helicopsyche borealis,ARTHROPODA,INSECTA,TRICHOPTERA,Helicopsychidae,,3,scr,"125,83",Trichoptera,,intolerant,1,2,117020
Helicopsyche sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Helicopsychidae,,3,scr,"125,83",Trichoptera,,intolerant,,,117016
Helisoma anceps,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,scr,"60,83",Mollusca,,facultative,,,76600
Helisoma campanulata,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,scr,60,Mollusca,,facultative,,,76603
Helisoma sp.,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,scr,60,Mollusca,,facultative,,,76599
Helisoma trivolvis,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,Planorbidae,,6,scr,60,Mollusca,,facultative,,,76611
Helius sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,4,c-g,"83,25",Insects-other,,intolerant,,,119690
Helobdella elongata,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,"83,63",Other,,tolerant,,,69397
Helobdella sp.,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,63,Other,,tolerant,,,69396
Helobdella sp. 1,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,63,Other,,tolerant,,,69396
Helobdella stagnalis,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,"83,63",Other,,tolerant,,,69398
Helobdella triserialis,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,Glossiphoniidae,,8,prd,"83,63",Other,,tolerant,,,69399
Helochares sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,prd,"83,123",Coleoptera,,facultative,,,113150
Helopelopia cornuticaudata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"94,124",Chironomidae,Conchapelopia sp. 2,facultative,,,128138
Helopelopia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,prd,"94,124",Chironomidae,,facultative,,,128131
Helophorus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,shr,"83,123",Coleoptera,,facultative,,,113106
Helopicus sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,"114,86",Plecoptera,,intolerant,,,103084
Helopicus subvarians,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,"114,86",Plecoptera,,intolerant,,,103085
Hemerodromia sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,prd,"83,117",Insects-other,"Undetermined Empididae, Undetermined Empidae, Roederiodes sp.",facultative,5,6,136327
Heptagenia culacantha,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,2,scr,"83,38",Ephemeroptera,"Heptagenia sp. 3, Cinygma sp., Stenonema sp. 3",intolerat,,,100623
Heptagenia flavescens,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,4,scr,"83,24",Ephemeroptera,,intolerant,,,100610
Heptagenia marginalis,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,4,scr,"83,24",Ephemeroptera,,intolerant,,,100616
Heptagenia pulla gr.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,4,scr,"83,24",Ephemeroptera,,intolerant,,,100619
Heptagenia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Heptageniidae,,4,scr,83,Ephemeroptera,,intolerant,0,0,100602
Hesperoconopa sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,2,c-g,25,Insects-other,,intolerant,,,120732
Hesperocorixa sp.,ARTHROPODA,INSECTA,HEMIPTERA,Corixidae,,5,prd,83,Insects-other,,facultative,,,103444
Hesperophylax designatus,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,3,shr,125,Trichoptera,,intolerant,,,116008
Hesperophylax sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,3,shr,125,Trichoptera,,intolerant,,,116001
Hetaerina sp.,ARTHROPODA,INSECTA,ODONATA,Calopterygidae,,6,prd,"83,122",Insects-other,,facultative,,,102048
Heterocloeon anoka,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,2,scr,"83, 34",Ephemeroptera,,intolerant,,,776948
Heterocloeon curiosum,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,2,scr,"83,34",Ephemeroptera,,intolerant,,,100796
Heterocloeon sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Baetidae,,2,scr,83,Ephemeroptera,,intolerant,,,100794
Heteroplectron americanum,ARTHROPODA,INSECTA,TRICHOPTERA,Calamoceratidae,,3,shr,"83,125",Trichoptera,,intolerant,,,553090
Heteroplectron sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Calamoceratidae,,3,shr,"83,125",Trichoptera,,intolerant,,,116537
Heterotrissocladius marcidus gr.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"106,36",Chironomidae,Heterotrissocladius sp. 2,intolerant,,,128744
Heterotrissocladius sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,4,c-g,"106,36",Chironomidae,,intolerant,,,128737
Hexagenia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,6,c-g,83,Ephemeroptera,,facultative,,,101537
Hexatoma sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,2,prd,"83,25",Insects-other,,intolerant,0,1,120094
Hexatoma sp. 1,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,2,prd,"83,25",Insects-other,,intolerant,,,120094
Hexatoma sp. 2,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,2,prd,"83,25",Insects-other,,intolerant,,,120094
Homoplectra sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,125,Trichoptera,,intolerant,,,115618
Hudsonimyia karelena,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,2,prd,28,Chironomidae,,intolerant,,,128168
Hudsonimyia parrishi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,2,prd,28,Chironomidae,,intolerant,,,128169
Hudsonimyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,2,prd,28,Chironomidae,,intolerant,,,128167
Hyalella azteca,ARTHROPODA,CRUSTACEA,AMPHIPODA,Talitridae,,8,c-g,17,Crustacea,,tolerant,,,94026
Hyalella sp.,ARTHROPODA,CRUSTACEA,AMPHIPODA,Talitridae,,8,c-g,17,Crustacea,,tolerant,,,94025
Hybomitra sp.,ARTHROPODA,INSECTA,DIPTERA,Tabanidae,,5,prd,83,Insects-other,,facultative,,,131321
Hydatophylax sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,2,shr,125,Trichoptera,,intolerant,,,115995
Hydra sp.,COELENTERATA,HYDROZOA,HYDROIDA,Hydridae,,5,prd,108,Other,,facultative,,,50845
Hydraena sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydraenidae,,5,prd,"83,123",Coleoptera,,facultative,,,112757
Hydrellia sp.,ARTHROPODA,INSECTA,DIPTERA,Ephydridae,,6,shr,127,Insects-other,,facultative,,,147117
Hydrobaenus pilipes,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,8,c-g,99,Chironomidae,,tolerant,,,128764
Hydrobaenus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Orthocladiinae,8,c-g,99,Chironomidae,,tolerant,,,128750
Hydrobius sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,prd,"83,123",Coleoptera,,facultative,,,113196
Hydrocanthus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Noteridae,Noterinae,5,,,Coleoptera,,facultative,,,112623
Hydrochara sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,prd,"83,123",Coleoptera,,facultative,,,113190
Hydrochus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Hydrophilidae,,5,shr,"83,123",Coleoptera,,facultative,,,113166
Hydroporus sp.,ARTHROPODA,INSECTA,COLEOPTERA,Dytiscidae,,5,prd,"83,123",Coleoptera,,facultative,,,112390
Hydropsyche betteni,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,7,c-f,105,Trichoptera,,facultative,7,9,115454
Hydropsyche bidens,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,3,c-f,"98,105",Trichoptera,,intolerant,,,115458
Hydropsyche dicantha,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,2,c-f,105,Trichoptera,Hydropsyche sp. 9,intolerant,,,115465
Hydropsyche leonardi,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,0,c-f,105,Trichoptera,"Hydropsyche nr. simulans, Hydropsyche sp. 4",intolerant,,,115472
Hydropsyche nr. depravata,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,6,c-f,105,Trichoptera,,facultative,,,115464
Hydropsyche orris,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,5,c-f,105,Trichoptera,Hydropsyche sp. 10,facultative,,,115485
Hydropsyche phalerata,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,1,c-f,105,Trichoptera,Hydropsyche sp. 2,intolerant,,,115477
Hydropsyche recurvata,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,105,Trichoptera,,intolerant,,,115520
Hydropsyche scalaris,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,2,c-f,105,Trichoptera,"Hydropsyche nr. hageni, Hydropsyche nr. aerata, Hydropsyche sp. 3",intolerant,3,3,115480
Hydropsyche separata,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,105,Trichoptera,,intolerant,,,115525
Hydropsyche sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,125,Trichoptera,,intolerant,5,4,115453
Hydropsyche valanis,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,6,c-f,105,Trichoptera,Hydropsyche sp. 5,facultative,,,115482
Hydropsyche venularis,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,105,Trichoptera,Hydropsyche sp. 11,intolerant,,,115484
Hydropsyche walkeri,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,4,c-f,103,Trichoptera,,intolerant,,,115593
Hydroptila ajax,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,98,Trichoptera,Hydroptila sp. 1,facultative,,,115593
Hydroptila consimilis,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,98,Trichoptera,Hydroptila sp. 9,facultative,9,10,115647
Hydroptila nr. albicornis,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,98,Trichoptera,Hydroptila sp. 2,facultative,,,115644
Hydroptila nr. armata,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,98,Trichoptera,Hydroptila sp. 3,facultative,,,115646
Hydroptila nr. hamata,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,98,Trichoptera,Hydroptila sp. 5,facultative,,,115650
Hydroptila nr. waubesiana,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,98,Trichoptera,Hydroptila sp. 8,facultative,,,115657
Hydroptila sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,125,Trichoptera,Hydroptila sp. 6,facultative,6,6,115641
Hydroptila spatulata,ARTHROPODA,INSECTA,TRICHOPTERA,Hydroptilidae,,6,scr,98,Trichoptera,Hydroptila sp. 11,facultative,9,8,115652
Hyporhygma sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,7,,,Chironomidae,,facultative,,,129520
Ilyodrilus sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68660
Ilyodrilus templetoni,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,10,c-g,"18,83",Oligochaeta,,tolerant,,,68662
Ironoquia sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Limnephilidae,,3,shr,125,Trichoptera,,intolerant,,,116382
Ischnura sp.,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,prd,"83,122",Insects-other,,tolerant,,,102078
Ischnura sp. 1,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,prd,"83,122",Insects-other,,tolerant,,,102078
Ischnura sp. 2,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,prd,"83,122",Insects-other,,tolerant,,,102078
Ischnura sp. 3,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,prd,"83,122",Insects-other,,tolerant,,,102078
Ischnura sp. 4,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,prd,"83,122",Insects-other,,tolerant,,,102078
Ischnura sp. 5,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,9,prd,"83,122",Insects-other,,tolerant,,,102078
Isochaetides freyi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68810
Isochaetides sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,8,c-g,"18,83",Oligochaeta,,tolerant,,,68808
Isogenoides hansoni,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,0,prd,"114,86",Plecoptera,,intolerant,,,568754
Isogenoides sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,0,prd,"114,86",Plecoptera,,intolerant,,,103124
Isonychia bicolor,ARTHROPODA,INSECTA,EPHEMEROPTERA,Isonychiidae,,2,c-f,"83,64",Ephemeroptera,Isonychia sp.,intolerant,5,2,101045
Isonychia obscura,ARTHROPODA,INSECTA,EPHEMEROPTERA,Isonychiidae,,2,c-f,"83,64",Ephemeroptera,"Isonychia bicolor,Isonychia sp.",intolerant,,,101054
Isonychia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Isonychiidae,,2,c-f,83,Ephemeroptera,,intolerant,,,101041
Isoperla frisoni,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,55,Plecoptera,,intolerant,,,103031
Isoperla holochlora,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,55,Plecoptera,,intolerant,,,103020
Isoperla marlynia,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,55,Plecoptera,,intolerant,,,103023
Isoperla namata,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,55,Plecoptera,,intolerant,,,103017
Isoperla nana,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,55,Plecoptera,,intolerant,,,103032
Isoperla sp.,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,"114,113",Plecoptera,,intolerant,,,102995
Isoperla transmarina,ARTHROPODA,INSECTA,PLECOPTERA,Perlodidae,,2,prd,55,Plecoptera,,intolerant,,,103036
