MACRO_GENSPECIES,PHYLUM,CLAS,ORDR,FAMILY,SUBFAMILY,HBI_TOLERANCE,FEEDINGHAB,REFERENCE,CLASSIFIER,PREVNAMES,TOLNAME,NBI-P_TOLERANCE,NBI-N_TOLERANCE,MACRO_TSN
Anthopotamus verticus,ARTHROPODA,INSECTA,EPHEMEROPTERA,Potamanthidae,,4,c-g,"72,73",Ephemeroptera,Potamanthus verticus,intolerant,,,609662
Antocha sp.,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,3,c-g,"83,25",Insects-other,,intolerant,8,6,119656
Antocha sp. 1,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,3,c-g,"83,25",Insects-other,,intolerant,,,119656
Antocha sp. 2,ARTHROPODA,INSECTA,DIPTERA,Tipulidae,,3,c-g,"83,25",Insects-other,,intolerant,,,119656
Apatania sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Apataniidae,,3,scr,125,Trichoptera,,intolerant,3,4,115935
Apedilum sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,,c-f,36,Chironomidae,,,,,206655
Apsectrotanypus johnsoni,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,prd,"92,36",Chironomidae,Apsectrotanypus sp.,facultative,,,128024
Arcteonais lomondi,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68976
Arcteonais sp.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Naididae,,6,c-g,"18,83",Oligochaeta,,facultative,,,68975
Arctopsyche ladogensis,Arthropoda,INSECTA,Trichoptera,Hydropsychidae,,1,c-f,"125,83",,,intolerant,,,115534
Arctopsyche sp.,ARTHROPODA,INSECTA,TRICHOPTERA,Hydropsychidae,,1,c-f,"125,83",Trichoptera,,intolerant,,,115529
Argia moesta,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,6,prd,"83,122",Insects-other,,facultative,,,102146
Argia sp.,ARTHROPODA,INSECTA,ODONATA,Coenagrionidae,,6,prd,"83,122",Insects-other,,facultative,,,102139
Arrenurus sp.,ARTHROPODA,ARACHNOIDEA,,Arrenuridae,,6,prd,108,Other,,facultative,,,82864
Atherix sp.,ARTHROPODA,INSECTA,DIPTERA,Athericidae,,4,prd,117,Insects-other,,intolerant,8,5,130929
Atractides sp.,ARTHROPODA,ARACHNOIDEA,,Atractideidae,,6,prd,108,Other,,facultative,,,83282
Atrichopogon sp.,ARTHROPODA,INSECTA,DIPTERA,Ceratopogonidae,,6,prd,83,Insects-other,,facultative,,,127113
Attenella attenuata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,2,Ephemeroptera,,intolerant,,,101340
Attenella margarita,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,2,Ephemeroptera,Ephemerella margarita,intolerant,,,101343
Attenella sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemerellidae,,1,c-g,2,Ephemeroptera,,intolerant,,,101338
Aulodrilus americanus,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,"18,83",Oligochaeta,,tolerant,,,68683
Aulodrilus limnobius,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,"18,83",Oligochaeta,,tolerant,,,68683
Aulodrilus pigueti,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,,7,c-g,"18,83",Oligochaeta,,tolerant,,,68680
